ID,Sex,Spayed_or_not,Birthday
094-003453,Male,Neutered,2011-05
094-003459,Female,Neutered,2012-04
094-003461,Male,Neutered,2011-09
094-003466,Male,Neutered,2012-11
094-003468,Male,Neutered,2012-11
094-003473,Female,Neutered,2011-05
094-003486,Female,Neutered,2012-07
094-003490,Male,Intact,2011-03
094-003493,Male,Neutered,2011-07
094-003494,Female,Neutered,2011-07
094-003496,Male,Neutered,2012-05
094-003504,Male,Neutered,2011-04
094-003514,Male,Intact,2012-04
094-003530,Male,Neutered,2011-05
094-003538,Female,Neutered,2011-06
094-003544,Female,Neutered,2011-03
094-003551,Female,Neutered,2012-04
094-003570,Female,Intact,2012-04
094-003574,Male,Neutered,2011-05
094-003580,Male,Neutered,2012-04
094-003582,Male,Neutered,2012-02
094-003587,Male,Neutered,2011-08
094-003589,Female,Neutered,2012-11
094-003596,Female,Neutered,2011-03
094-003597,Female,Neutered,2012-06
094-003605,Female,Neutered,2012-03
094-003617,Female,Neutered,2011-03
094-003619,Male,Intact,2011-05
094-003621,Female,Neutered,2012-06
094-003626,Male,Neutered,2012-11
094-003634,Female,Neutered,2012-10
094-003644,Female,Neutered,2012-10
094-003646,Male,Neutered,2012-09
094-003648,Male,Neutered,2012-11
094-003654,Female,Neutered,2012-11
094-003671,Female,Neutered,2012-07
094-003677,Female,Neutered,2011-07
094-003679,Male,Neutered,2012-03
094-003690,Female,Neutered,2011-05
094-003698,Male,Neutered,2011-01
094-003715,Female,Neutered,2011-11
094-003716,Male,Neutered,2012-05
094-003720,Female,Neutered,2012-02
094-003722,Female,Neutered,2013-01
094-003728,Male,Neutered,2012-07
094-003733,Female,Neutered,2012-06
094-003735,Male,Neutered,2012-07
094-003741,Female,Neutered,2012-05
094-003745,Female,Neutered,2011-11
094-003749,Male,Intact,2012-06
094-003751,Male,Neutered,2012-05
094-003753,Female,Neutered,2011-07
094-003757,Male,Neutered,2011-10
094-003761,Male,Neutered,2011-02
094-003765,Male,Neutered,2011-09
094-003771,Male,Neutered,2012-01
094-003774,Male,Neutered,2012-06
094-003782,Male,Intact,2011-01
094-003786,Female,Neutered,2012-09
094-003792,Male,Neutered,2012-11
094-003809,Male,Neutered,2012-08
094-003816,Female,Neutered,2011-05
094-003821,Male,Neutered,2011-07
094-003848,Male,Neutered,2012-06
094-003854,Male,Neutered,2012-05
094-003861,Female,Neutered,2011-09
094-003873,Female,Neutered,2011-03
094-003880,Male,Neutered,2011-05
094-003888,Male,Neutered,2011-03
094-003890,Female,Neutered,2011-05
094-003903,Male,Neutered,2011-11
094-003912,Male,Neutered,2012-08
094-003915,Male,Neutered,2012-09
094-003921,Male,Neutered,2012-11
094-003925,Female,Neutered,2011-11
094-003928,Male,Neutered,2011-07
094-003930,Female,Intact,2011-06
094-003932,Female,Neutered,2012-11
094-003941,Male,Neutered,2012-11
094-003945,Female,Intact,2012-02
094-003950,Female,Neutered,2011-07
094-003957,Female,Neutered,2011-07
094-003964,Female,Neutered,2011-04
094-003969,Male,Neutered,2012-05
094-003973,Male,Intact,2012-07
094-003978,Female,Neutered,2012-02
094-003987,Female,Neutered,2012-09
094-003994,Male,Intact,2012-08
094-004003,Male,Intact,2012-07
094-004005,Female,Neutered,2011-12
094-004015,Male,Neutered,2012-02
094-004028,Male,Neutered,2012-10
094-004034,Female,Neutered,2011-11
094-004098,Female,Neutered,2012-06
094-004144,Male,Intact,2012-02
094-004148,Male,Neutered,2011-07
094-004152,Female,Neutered,2011-01
094-004192,Female,Neutered,2012-06
094-004198,Female,Neutered,2012-03
094-004202,Female,Neutered,2011-06
094-004204,Male,Intact,2011-10
094-004212,Female,Neutered,2011-11
094-004214,Male,Intact,2012-11
094-004224,Female,Neutered,2012-01
